"","slide_id","Total_cell","Opal 480 Positive Cells (CD19)","Opal 520 Positive Cells (CD4)","Opal 620 Positive Cells (CD8)","Total_area","Opal 570 Area (μm²) Myeloperoxidase","Opal 690 Area (μm²) CD68"
"122","17-58",573787,0.00343507259662558,0.0117395479507204,0.0311003909116101,168941264,0.0506028651472621,0.128731687481633
"123","14-43",201769,0.000822723014932918,0.0330476931540524,0.0139218611382323,145653936,0.000131069543647622,0.0332543879898996
"124","18-04",571830,0.000715247538604131,0.0111099452634524,0.0200024482800832,128076336,0.00815719628722046,0.0358314591385562
"125","08-53",280974,0.00305366332827949,0.0213542890089474,0.035768434089987,160811088,0.0110533073129883,0.0543259554341178
"126","07-24",432015,0.000812471789173987,0.0137888730715369,0.0292582433480319,175253680,0.0235776775129629,0.0638403826955303
"127","19-67",260419,0.000514555389583709,0.0228477952837543,0.00951543474170471,128714712,0.00107139886911296,0.0501737866608442
"128","15-85",365701,0.00126606161864474,0.0161142572757526,0.0169181927312203,165131968,8.21539842606369e-07,0.0407055313481155
"129","20-43",352011,0.00278400390896875,0.0149824863427563,0.0281837783478357,281182016,0.000423360529529741,0.00854812492702236
"130","09-51",142918,0.00875327110650863,0.0361116164513917,0.0422829874473474,182794432,0.00213247691401235,0.00590573171834906
"131","12-05",192469,0.00301866794133081,0.0262795567078335,0.0248923203217141,93727320,0.0081010944834441,0.0268812497786131
"132","08-52",363660,0.00688830226035308,0.0133778804377715,0.0408623439476434,177919952,0.00711290167726664,0.0489241476414067
"133","10-04",399093,0.00213233506977071,0.0121851297817802,0.00503140871927095,181724240,0.0191727724380633,0.00729632849200525
"134","14-39",933947,0.000413299684029179,0.00519622633832541,0.0018416462604409,486417696,0.0654546416831019,0.134125753516994
"135","15-35",476604,0.00168064053176222,0.00989081081988401,0.033671559617628,202797824,0.000643884998307477,0.0534259233471854
"136","21-22",167288,0.00337143130409832,0.0271268710248195,0.0185368944574626,99638288,0.00532935441443956,0.0272432872391384
"137","10-17",214275,0.000550694201376736,0.0210290514525726,0.0294061369735153,106733232,0.0170505096294657,0.03573914308151
"138","12-49",194840,1.02648326832273e-05,0.0222438924245535,0.0174091562307534,133731968,0.00160406742649596,0.00975500768073644
"139","17-18",545269,0.00244099701248375,0.00708457660347462,0.00919179340839109,203777840,0.0690303126188795,0.0520975440705427
"140","14-12",234651,0.00782438600304282,0.0155763239875389,0.0251394624357024,228365120,0.000590954753182097,0.0240208136864334
"141","14-48",302249,0.000198511823033327,0.0117221231501179,0.0336874563687556,162934512,0.00125769999160767,0.0203580672337853
"142","09-21",387373,0.000464668420359705,0.00909717507415334,0.0468256693161372,244578528,0.00157814995824163,0.0434379505301463
"143","15-19",489025,0.00130259189203006,0.00608353356167885,0.0574244670517867,225373232,0.000358494666141186,0.0264275572886136
"144","09-22",407914,0.00420676907387341,0.00660678476345504,0.047698779644729,209746624,0.00121084711117925,0.0297065568025543
"145","18-44",303926,0.00132269039174009,0.00864026111619276,0.00699512381303344,170180096,0.0396510118316069,0.0652368829313623
"146","16-55",479359,0.00296854758124913,0.00465621799110896,0.0233645347224106,237579344,0.0143036109233469,0.0338623967241866
"147","17-49",1017388,0.000415770581135221,0.00197564744227374,0.00358172103464951,218330672,0.0313133190924269,0.103664362834004
"148","08-22",118794,0.00421738471639982,0.0163223731838308,0.0317271916090038,130297328,0.00477695425189379,0.0185176782750296
"149","16-47",432344,0.0017162259682105,0.0036868789667487,0.0316715393297929,229223536,0.000482056022109353,0.00636907710471755
"150","13-74",246722,0.00759154027610023,0.00590137887987289,0.0258509577581245,258853264,0.003565535733403,0.0119915196433451
"151","09-04",248702,0.00911532677662423,0.00561314344074434,0.0112785582745615,207342176,0.00573919413289074,0.0173934197545993
"152","18-30",354409,0.00106938593545875,0.0037160455857498,0.00760420869673174,180686528,0.00275025865514445,0.031950586266177
"153","10-61",275475,0.000163354206370814,0.00159724112895907,0.011354932389509,196255488,0.00410098117867664,0.0193253831454639
"154","13-17",221015,0.00143429179014999,0.00178720901296292,0.0127728887179603,121180608,4.32276670867999e-05,0.0134727888970486
"155","15-24",415518,0.01229308958938,0.000892861440418947,0.0179944069811657,309860928,0.00561151864555185,0.0540165199531062
"156","16-19",629904,9.366506642282e-05,0.000525476898067007,0.0156150778531332,239635232,0.057513679791459,0.0241543509762371
"157","12-66",230050,1.73875244512063e-05,0.00134318626385568,0.0256031297544012,164232704,0.00033385058066145,0.024233748230803
"158","14-14",232032,1.72390015170321e-05,0.00130154461453593,0.00253413322300372,187419984,0.00047849140550028,0.00311517907556752
"159","11-33",1519633,0.00407795829650975,0.0809425696862335,0.0204720481853184,365031168,0.134606412568036,0.131941588067351
